"","x"
"800",1.40132651378753e-06
"801",1.41619375502135e-06
"802",1.48836766859197e-06
"803",1.52879931743611e-06
"804",1.53754739987369e-06
"805",1.53643099874491e-06
"806",1.51241198984641e-06
"807",1.58966677468634e-06
"808",1.62476894856989e-06
"809",1.65823959519576e-06
"810",1.66619654310217e-06
"811",1.70982792719411e-06
"812",1.78307073295948e-06
"813",1.81342796680248e-06
"814",1.8059223226698e-06
"815",1.78260860406581e-06
"816",1.88661513052109e-06
"817",1.94404923280653e-06
"818",1.89879403541357e-06
"819",1.97165696025922e-06
"820",1.92050579262369e-06
"821",2.04223736721983e-06
"822",1.9633317248022e-06
"823",1.99241536322372e-06
"824",2.1531007342056e-06
"825",2.17315111900302e-06
"826",2.21375163823634e-06
"827",2.14411821550278e-06
"828",2.15593982045137e-06
"829",2.22568759290504e-06
"830",2.28866496440318e-06
"831",2.40906123446892e-06
"832",3.11113426456538e-06
"833",3.46034774173578e-06
"834",3.99882535860444e-06
"835",3.81011606574807e-06
"836",3.95352012000952e-06
"837",3.9259708269366e-06
"838",4.3800845356416e-06
"839",4.70724753198515e-06
"840",5.02012085561761e-06
"841",4.83014994472731e-06
"842",4.82143439963775e-06
"843",5.19041463723279e-06
"844",4.85136499446305e-06
"845",5.01429766409912e-06
"846",5.20620408738829e-06
"847",5.45000192691061e-06
"848",5.49115208003675e-06
"849",5.01408461028118e-06
"850",5.68984468322204e-06
"851",5.0730377989435e-06
"852",5.59283267710969e-06
"853",5.82286298043716e-06
"854",5.78964227077756e-06
"855",5.89504282472867e-06
"856",6.33835895271723e-06
"857",6.52511831843597e-06
"858",6.46776077538334e-06
"859",6.35312197905339e-06
"860",6.8695454752758e-06
"861",6.75057272484986e-06
"862",7.02589905377791e-06
"863",7.25959512661121e-06
"864",6.842838316507e-06
"865",7.624367974109e-06
"866",7.33723042242019e-06
"867",7.18882660785935e-06
"868",7.4642888256247e-06
"869",8.46733468697453e-06
"870",7.09473041107673e-06
"871",8.44543386508861e-06
"872",8.12248385921668e-06
"873",8.28414361508327e-06
"874",8.44506745206837e-06
"875",9.01857956335083e-06
"876",9.38348961947015e-06
"877",9.57937851035859e-06
"878",9.40626597987081e-06
"879",9.58174317698899e-06
"880",9.99985334509025e-06
"881",9.42899383164049e-06
"882",9.89963550480284e-06
"883",1.04804899536213e-05
"884",1.03497297767408e-05
"885",5.53307555061705e-06
"886",5.56044164363987e-06
"887",5.86654897926137e-06
"888",6.04526382760724e-06
"889",5.92788424254876e-06
"890",5.89425702764983e-06
"891",6.30366441730148e-06
"892",6.46750554333782e-06
"893",6.53845595190257e-06
"894",6.58424911803597e-06
"895",6.64584059803726e-06
"896",6.67172739493052e-06
"897",7.11987233091112e-06
"898",8.24915864466704e-06
"899",8.24759218594915e-06
"900",8.24303135041404e-06
"901",8.98580655740486e-06
"902",8.69330372386674e-06
"903",9.44635955795448e-06
"904",1.16554474248149e-05
"905",1.17421593227315e-05
"906",1.24617315971038e-05
"907",1.1056357897706e-05
"908",1.28376445857321e-05
"909",1.1942985073267e-05
"910",1.54344989385376e-05
"911",1.49166415811896e-05
"912",1.48574968658114e-05
"913",1.78372262278158e-05
"914",1.96138599536679e-05
"915",2.02889065514392e-05
"916",2.13368984213838e-05
"917",2.05363858504487e-05
"918",2.57664157338458e-05
"919",2.65083997803913e-05
"920",2.85306355720298e-05
"921",2.91935250474264e-05
"922",3.1376964238793e-05
"923",2.75164152927071e-05
"924",3.48989550057364e-05
"925",3.56752174776633e-05
"926",3.90195410669821e-05
"927",3.90419414500028e-05
"928",4.27625884294162e-05
"929",4.33747839229003e-05
"930",5.12734739179317e-05
"931",5.40074157432897e-05
"932",4.93633998646925e-05
"933",6.12186790200599e-05
"934",6.41730102845589e-05
"935",6.42493714361708e-05
"936",6.63481167835344e-05
"937",7.11979098770047e-05
"938",6.76856037381469e-05
"939",7.41975673388913e-05
"940",9.15136676176308e-05
"941",9.53557425748095e-05
"942",0.000100180563827506
"943",9.41858661524616e-05
"944",0.000112453059720777
"945",0.000105407060350149
"946",0.000107325804805315
"947",0.000117812559844917
"948",0.000136780846097925
"949",0.000125165756897597
"950",0.000123901914086601
"951",0.000142226883970051
"952",0.000143628545585235
"953",0.000140149336604182
"954",0.000146713613999053
"955",0.000145459820210951
"956",0.000152472656880406
"957",0.000151796135781653
"958",0.00015150100652561
"959",0.000163688286087126
"960",0.000160241344265018
"961",0.00016298278718696
"962",0.000199357872868269
"963",0.000174262282002464
"964",0.000170396049350909
"965",0.000206060170040401
"966",0.000194093750629749
"967",0.000203103991125556
"968",0.000184346446094357
"969",0.00020298955519145
"970",0.000174754680614619
"971",0.000177185391681444
"972",0.000169464170283017
"973",0.000178705691537702
"974",0.000175743013202119
"975",0.000184115826951333
"976",0.000169035940469811
"977",0.000184264534278934
"978",0.000141510296757694
"979",0.000149196471278353
"980",0.000174799756718961
"981",0.000131026887869831
"982",0.000149510484693305
"983",0.000133451469365796
"984",0.000110436325048751
"985",0.000108148494576605
"986",9.61928893231879e-05
"987",9.61898742016647e-05
"988",9.35527337291402e-05
"989",7.12863123294714e-05
"990",7.44848105767435e-05
"991",6.94362331948883e-05
"992",5.44826056739354e-05
"993",5.35127466262597e-05
"994",5.38252453886242e-05
"995",4.46348642527852e-05
"996",4.15384722162004e-05
"997",4.34009257639412e-05
"998",4.80273841992112e-05
"999",3.05486330374172e-05
"1000",3.1416718301046e-05
